FORMATTED_BATCH_ID,SUPPLIER,SUPPLIER_REF,WELL_REF,BARCODE,Starting Concentration,Concentration Range
CBP-0000006-04,P3_Prestwick,Prestw-196,G13,B006,0,A
CBP-0000312-03,P3_Prestwick,Prestw-91,M06,B006,0,A
CBP-0000367-04,P3_Prestwick,Prestw-973,J17,B008,0,A
CBP-0000368-04,P3_Prestwick,Prestw-237,J15,B006,0,A
CBP-0000437-04,P3_Prestwick,Prestw-64,P04,B006,0,A
CBP-0000439-05,P3_Prestwick,Prestw-888,H12,B008,0,A
CBP-0000469-03,P3_Prestwick,Prestw-1051,M22,B008,0,A
CBP-0000501-04,P3_Prestwick,Prestw-870,D11,B008,0,A
CBP-0001500-06,P3_Prestwick,Prestw-272,P17,B006,0,A
CBP-0002247-04,P3_Prestwick,Prestw-9,I01,B006,0,A
CBP-0002361-03,P3_Prestwick,Prestw-1058,C01,B009,0,A
CBP-0002580-05,P3_Prestwick,Prestw-86,D06,B006,0,A
CBP-0003128-04,P3_Prestwick,Prestw-1279,D16,B008,0,A
CBP-0003378-03,P3_Prestwick,Prestw-549,B13,B007,0,A
CBP-0003769-03,P3_Prestwick,Prestw-510,L10,B007,0,A
CBP-0005537-04,P3_Prestwick,Prestw-343,F22,B006,0,A
CBP-0005539-05,P3_Prestwick,Prestw-269,J17,B006,0,A
CBP-0006192-04,P3_Prestwick,Prestw-448,P06,B007,0,A
CBP-0006275-03,P3_Prestwick,Prestw-113,A08,B006,0,A
CBP-0006573-05,P3_Prestwick,Prestw-211,E14,B006,0,A
CBP-0007801-03,P3_Prestwick,Prestw-455,F07,B007,0,A
CBP-0016668-03,P3_Prestwick,Prestw-85,B06,B006,0,A
CBP-0016674-04,P3_Prestwick,Prestw-382,L02,B007,0,A
CBP-0016680-04,P3_Prestwick,Prestw-1283,A05,B009,0,A
CBP-0016682-03,P3_Prestwick,Prestw-938,K15,B008,0,A
CBP-0016683-03,P3_Prestwick,Prestw-960,P16,B008,0,A
